GT1,id,submitted_us,completed_us,drain_us
GT1,105,570,16188,15618
GT1,106,599,15690,15091
GT1,107,505,15825,15320
GT1,108,568,16282,15714
GT1,109,485,15672,15187
GT1,110,502,15907,15405
GT1,111,562,16383,15821
GT1,112,492,15714,15222
GT1,113,569,16110,15541
GT1,114,557,16477,15920
GT1,115,501,15797,15296
GT1,116,580,16212,15632
GT1,117,555,15659,15104
GT1,118,489,15839,15350
GT1,119,558,16304,15746
GT1,id,submitted_us,completed_us,drain_us
GT1,0,7817,15335,7518
GT1,1,7643,15343,7700
GT1,2,7779,15362,7583
GT1,3,7612,15361,7749
GT1,4,7615,15261,7646
GT1,5,7474,15280,7806
GT1,6,7617,15398,7781
GT1,7,7598,15409,7811
GT1,8,7537,15470,7933
GT1,9,7674,15374,7700
GT1,10,7713,15476,7763
GT1,11,7554,15403,7849
GT1,12,7827,12401,4574
GT1,13,8845,13553,4708
GT1,14,7803,15338,7535
GT1,15,7859,15411,7552
GT1,16,7920,15438,7518
GT1,17,7846,15309,7463
GT1,18,7837,15423,7586
GT1,19,15230,28114,12884
GT1,20,7273,16462,9189
GT1,21,7246,16559,9313
GT1,22,7232,16438,9206
GT1,23,7289,16495,9206
GT1,24,9146,15189,6043
GT1,25,9238,15301,6063
GT1,26,9109,15317,6208
GT1,27,9099,15224,6125
GT1,28,9069,15220,6151
GT1,29,9195,15337,6142
GT1,30,9244,15440,6196
GT1,31,9210,15457,6247
GT1,32,9159,15452,6293
GT1,33,9354,15471,6117
GT1,34,8992,15417,6425
GT1,35,8679,15231,6552
GT1,36,8809,12308,3499
GT1,37,8783,12255,3472
GT1,38,21942,27438,5496
GT1,39,8834,12419,3585
GT1,40,8694,12397,3703
GT1,41,8634,12409,3775
GT1,42,8347,12386,4039
GT1,43,8449,12509,4060
GT1,44,8330,12474,4144
GT1,45,8144,12385,4241
GT1,46,8075,12403,4328
GT1,47,8101,12453,4352
GT1,48,8160,25849,17689
GT1,49,8141,25576,17435
GT1,50,11146,25340,14194
GT1,51,8275,12392,4117
GT1,52,8139,12494,4355
GT1,53,8000,12499,4499
GT1,54,8029,12408,4379
GT1,55,7955,12399,4444
GT1,56,7870,12384,4514
GT1,57,7993,12430,4437
GT1,58,8001,12385,4384
