symbol,address_hex,code_bytes
_rtc_formatDate,0x002bd9,127
_emos_find,0x003d86,125
_emos_keyboard_tick,0x006513,124
_readYear,0x00da5d,118
_validate,0x0156d3,117
_silence,0x007edb,116
_mos_cmdLOAD,0x00a030,115
_printEscapedString,0x009d48,115
_emos_parallel_epoch_leave,0x007035,113
_mos_cmdSETMACRO,0x00b469,113
_substituteArguments,0x012239,113
_editHistoryDown,0x00f07b,112
_publish,0x00638c,112
_emos_parallel_ez80_read_ticks,0x0072a9,111
_mos_FGETC,0x00d61f,111
_mos_cmdCOPY,0x00af76,110
_mos_cmdREN,0x00aaa3,110
_rtc_dayFromName,0x002cf3,110
_rtc_monthFromName,0x002c85,110
_step,0x007e6d,110
_mos_runBin,0x008c85,109
_readDate,0x00db55,109
_readTime,0x00dd18,109
_f_findnext,0x017a5e,108
_removeSystemVariable,0x010b31,108
_strcasecmp,0x0122aa,107
_emos_keyboard_transport_claim,0x006c85,106
_clock_step,0x008156,105
_mos_COPY_API,0x00d445,105
_mos_REN_API,0x00d3dc,105
_emos_read32,0x00566f,104
_fat_getfree,0x00d984,103
_putc_flush,0x01957e,103
_mos_getCommand,0x008b6a,101
_writeVDPSetting,0x00de67,101
_emos_console_publish,0x006134,100
_get_ldnumber,0x012eb2,100
_ff_oem2uni,0x01a684,99
_mos_cmdUNSET,0x00b622,98
_emos_identity_valid,0x003d02,96
_mos_CD,0x00aa43,96
_mos_input,0x008b0a,96
_emos_text_probe,0x0084a8,95
_emos_init,0x002d6d,94
_getFilepathLeafname,0x00f2b6,93
_f_puts,0x0195e5,90
_setting,0x00693f,89
_effect,0x005e17,87
_mos_cmdRUNBIN,0x00a999,86
_removeEditLine,0x00e5ab,83
_emos_select_fake,0x00561d,82
_gotoEditLineStart,0x00e518,81
_deadline_step,0x0068ef,80
_mos_strndup,0x012534,80
_release_key,0x006de0,80
_writeKeyboard,0x00decc,80
_mos_mount,0x00bcc8,79
_bootmsg,0x002858,78
_emos_parallel_engine_open,0x00740b,78
_mos_MKDIR,0x00b2d4,78
_uart1_try_put,0x012a6d,78
_readCWD,0x00da10,77
_uart1_claim_rts,0x012999,76
_emos_parallel_engine_close,0x007459,75
_editHistoryUp,0x00f033,72
_emos_entry_compare,0x003806,72
_SD_readBlocks_API,0x012c46,71
_SD_writeBlocks_API,0x012c8d,71
_SD_getUnlockCode,0x012bde,70
_emos_console_recover,0x006198,70
_mos_GETFIL,0x00d68e,70
_mos_strcspn,0x0124a8,70
_mos_strspn,0x0124ee,70
_mos_FREAD,0x00d718,69
_mos_FWRITE,0x00d75d,69
_uart1_try_get,0x012a28,69
_autoPageOutput,0x00b4da,68
_mos_GETERROR,0x00d81f,68
_mos_LOAD_API,0x00c0fb,68
_mos_SAVE_API,0x00c13f,68
_readPalette,0x00e0e4,68
_umm_multi_calloc,0x01b345,68
_findParentSystemVariable,0x010b9d,67
_uart1_keyboard_close,0x012b92,67
_uart1_receive_ready,0x0129e5,67
_xdigit_to_int,0x009af0,67
_close_UART1,0x012957,66
_emos_clear,0x00384e,66
_emos_parallel_route_enter,0x007191,66
_gotoEditLineEnd,0x00e569,66
_cmp_filinfo,0x00d307,65
_f_putc,0x0194bb,64
_mos_DIR_API,0x00c329,64
_mos_cmdJMP,0x00a8aa,64
_emos_sdlink_packet,0x0078a3,63
_umm_multi_free,0x01a8eb,63
_rtc_update,0x002a60,62
_emos_range_overlaps_module,0x003cc5,61
_expandVariableToken,0x011e29,61
_emos_adapter_ready,0x0047e5,60
_emos_keyboard_transport_release,0x006cef,60
_f_chdrive,0x0162d4,60
_mos_cmdCD,0x00aa07,60
_mos_cmdEXEC,0x00a0a3,60
_mos_cmdMKDIR,0x00b298,60
_mos_cmdTYPE,0x00bb0b,60
_mos_CD_API,0x00c183,58
_mos_MKDIR_API,0x00d4ae,58
_f_close,0x01629b,57
_mos_GETRTC,0x00b984,55
_emos_application_leave,0x004539,54
_mos_error,0x008abf,54
_mos_strdup,0x012472,54
_mos_FEOF,0x00d7ea,53
_mos_OSCLI,0x00d863,52
_fat_lseek,0x00d951,51
_fat_size,0x00d912,50
_fat_tell,0x00d8e0,50
_mos_I2C_OPEN,0x008832,50
_mos_cmdCREDITS,0x00bad9,50
_editHistoryInit,0x00f0eb,49
_init_interrupts,0x002755,49
_emos_console_write_stream,0x0061de,48
_f_findfirst,0x017d3c,48
_transmit_block,0x006db0,48
_emos_parallel_uart1_guard_acquire,0x00722e,47
_mos_UNPACKRTC,0x00d897,47
_emos_parallel_generation_next,0x00778e,46
_getModeInformation,0x00e0b6,46
_checkAttribute,0x00f51f,45
_disk_read,0x012cf0,45
_disk_write,0x012d1d,45
_emos_parallel_release_local_pins,0x007008,45
_rtc_formatTime,0x002c58,45
_emos_adapter_recover,0x0047b9,44
_emos_keyboard_fault,0x006413,44
_mos_FLSEEK,0x00d7a2,43
_printf,0x01b518,43
_emos_parallel_last_fault,0x007162,42
_f_closedir,0x017997,42
_insertSystemVariable,0x01098d,41
