case,variant,kind,exact,failure,bytes,encode_ms,original_cli_exact,sha256
colours,srle2-o0-b4259840-r1-i0,srle2,True,,111,0.013213333333333334,False,539e7cb138bb548af0cd40c41c725b606798741c80d87ef38a28450d08645d7f
colours,srle2-o3-b32768-r1-i0,srle2,True,,111,0.033453000000000004,False,582d592ef974d82991456482ae171fb7214e0a4d05764055e55bd9bd29da90ce
colours,srle2-o3-b131072-r1-i0,srle2,True,,111,0.03313,False,582d592ef974d82991456482ae171fb7214e0a4d05764055e55bd9bd29da90ce
colours,srle2-o3-b4259840-r1-i0,srle2,True,,111,0.034659666666666665,False,582d592ef974d82991456482ae171fb7214e0a4d05764055e55bd9bd29da90ce
colours,srle2-o4-b32768-r1-i0,srle2,True,,111,0.03285333333333333,False,140acdff48c305d9a30d0f97fda785ad0b5cb5312fa5dc46a7912e718521eba9
colours,srle2-o4-b131072-r1-i0,srle2,True,,111,0.032923,False,140acdff48c305d9a30d0f97fda785ad0b5cb5312fa5dc46a7912e718521eba9
colours,srle2-o4-b4259840-r1-i0,srle2,True,,111,0.03479,False,140acdff48c305d9a30d0f97fda785ad0b5cb5312fa5dc46a7912e718521eba9
colours,srle2-o6-b32768-r1-i0,srle2,True,,111,0.03355333333333333,False,14b270239f0e91dd7f35b9fbd4b286dfac69b66f206e9f1c17c9ceb06a9a52c9
colours,srle2-o6-b131072-r1-i0,srle2,True,,111,0.03342333333333333,False,14b270239f0e91dd7f35b9fbd4b286dfac69b66f206e9f1c17c9ceb06a9a52c9
colours,srle2-o6-b4259840-r1-i0,srle2,True,,111,0.033273,False,14b270239f0e91dd7f35b9fbd4b286dfac69b66f206e9f1c17c9ceb06a9a52c9
colours,srle2-o0-b4259840-r1-i1,srle2,True,,51,0.014033,False,173f3b0964596311454402d7af3fde6f8f4fecf7f97eb99b3a5cd36574d157e8
colours,srle2-o0-b4259840-r2-i0,srle2,True,,112,0.012583333333333334,False,e07e57a94285409a14890407a8ed457f994f06be2425cd8faee0508b3892da6e
colours,srle2-o0-b4259840-r2-i1,srle2,True,,54,0.015429666666666668,False,bca4bc275d33fc5ad2a881a32c2363c46e1a17ee0ee65dc353777e102cf61dcb
colours,srle2-o0-b4259840-r3-i0,srle2,True,,112,0.012603333333333333,False,852ac0acaec69fa569fec3bb85d3da82a9215a03ccfb46def7300c277d944cc8
colours,srle2-o0-b4259840-r3-i1,srle2,True,,57,0.014666666666666666,False,50c94b65fadb0a8f5d1f50511f07b5a73bb6f39e7ce4c7ffa6ee0a5062214232
colours,srle2-o0-b4259840-r4-i0,srle2,True,,110,0.01241,False,906d2fa9d91b24f957902679105c35667c9f4f6b05b3d48a2a231ea0650d859f
colours,srle2-o0-b4259840-r4-i1,srle2,True,,57,0.013536333333333334,False,898c9af8547912d774543f6c90efa6bbd4ad7307f76ec669877faefd69c93ff1
colours,srle2-o0-b4259840-r8-i0,srle2,True,,112,0.012289666666666667,False,b97abc38576fd2a26806f02182bee0b6c1473663c31bd82392951b1d46036b80
