remote-keyboard receiver, complete=0, events=96
0,2,117,1,1
67,2,50,1,2
67,2,50,0,1
0,0,117,0,0
0,2,117,1,1
79,2,62,1,2
79,2,62,0,1
0,0,117,0,0
0,2,117,1,1
80,2,63,1,2
80,2,63,0,1
0,0,117,0,0
0,2,117,1,1
89,2,72,1,2
89,2,72,0,1
0,0,117,0,0
32,0,1,1,1
32,0,1,0,0
47,0,87,1,1
47,0,87,0,0
101,0,26,1,1
101,0,26,0,0
120,0,45,1,1
120,0,45,0,0
116,0,41,1,1
116,0,41,0,0
101,0,26,1,1
101,0,26,0,0
110,0,35,1,1
110,0,35,0,0
100,0,25,1,1
100,0,25,0,0
101,0,26,1,1
101,0,26,0,0
114,0,39,1,1
114,0,39,0,0
47,0,87,1,1
47,0,87,0,0
107,0,32,1,1
107,0,32,0,0
101,0,26,1,1
101,0,26,0,0
121,0,46,1,1
121,0,46,0,0
45,0,79,1,1
45,0,79,0,0
115,0,40,1,1
115,0,40,0,0
111,0,36,1,1
111,0,36,0,0
117,0,42,1,1
117,0,42,0,0
114,0,39,1,1
114,0,39,0,0
99,0,24,1,1
99,0,24,0,0
101,0,26,1,1
101,0,26,0,0
46,0,89,1,1
46,0,89,0,0
116,0,41,1,1
116,0,41,0,0
120,0,45,1,1
120,0,45,0,0
116,0,41,1,1
116,0,41,0,0
32,0,1,1,1
32,0,1,0,0
47,0,87,1,1
47,0,87,0,0
101,0,26,1,1
101,0,26,0,0
120,0,45,1,1
120,0,45,0,0
116,0,41,1,1
116,0,41,0,0
101,0,26,1,1
101,0,26,0,0
110,0,35,1,1
110,0,35,0,0
100,0,25,1,1
100,0,25,0,0
101,0,26,1,1
101,0,26,0,0
114,0,39,1,1
114,0,39,0,0
47,0,87,1,1
47,0,87,0,0
107,0,32,1,1
107,0,32,0,0
101,0,26,1,1
101,0,26,0,0
121,0,46,1,1
121,0,46,0,0
45,0,79,1,1
45,0,79,0,0
