symbol,address_hex,code_bytes
_emos_parallel_epoch_leave,0x0058b1,113
_mos_cmdSETMACRO,0x009cb9,113
_substituteArguments,0x010a74,113
_editHistoryDown,0x00d8b6,112
_publish,0x004c08,112
_emos_parallel_ez80_read_ticks,0x005b25,111
_mos_FGETC,0x00be6f,111
_mos_cmdCOPY,0x0097c6,110
_mos_cmdREN,0x0092f3,110
_rtc_dayFromName,0x002cf3,110
_rtc_monthFromName,0x002c85,110
_step,0x0066e9,110
_mos_runBin,0x007501,109
_readDate,0x00c3a5,109
_readTime,0x00c568,109
_f_findnext,0x016299,108
_removeSystemVariable,0x00f36c,108
_strcasecmp,0x010ae5,107
_emos_keyboard_transport_claim,0x005501,106
_clock_step,0x0069d2,105
_mos_COPY_API,0x00bc95,105
_mos_REN_API,0x00bc2c,105
_fat_getfree,0x00c1d4,103
_putc_flush,0x017db9,103
_mos_getCommand,0x0073e6,101
_writeVDPSetting,0x00c6b7,101
_emos_console_publish,0x0049b0,100
_get_ldnumber,0x0116ed,100
_ff_oem2uni,0x018ebf,99
_mos_cmdUNSET,0x009e72,98
_emos_identity_valid,0x003147,96
_mos_CD,0x009293,96
_mos_input,0x007386,96
_emos_text_probe,0x006d24,95
_getFilepathLeafname,0x00daf1,93
_f_puts,0x017e20,90
_setting,0x0051bb,89
_effect,0x004693,87
_mos_cmdRUNBIN,0x0091e9,86
_removeEditLine,0x00cde6,83
_emos_select_fake,0x004468,82
_gotoEditLineStart,0x00cd53,81
_deadline_step,0x00516b,80
_mos_strndup,0x010d6f,80
_release_key,0x00565c,80
_writeKeyboard,0x00c71c,80
_mos_mount,0x00a518,79
_bootmsg,0x002858,78
_emos_parallel_engine_open,0x005c87,78
_mos_MKDIR,0x009b24,78
_uart1_try_put,0x0112a8,78
_readCWD,0x00c260,77
_uart1_claim_rts,0x0111d4,76
_emos_parallel_engine_close,0x005cd5,75
_editHistoryUp,0x00d86e,72
_SD_readBlocks_API,0x011481,71
_SD_writeBlocks_API,0x0114c8,71
_SD_getUnlockCode,0x011419,70
_emos_console_recover,0x004a14,70
_mos_GETFIL,0x00bede,70
_mos_strcspn,0x010ce3,70
_mos_strspn,0x010d29,70
_mos_FREAD,0x00bf68,69
_mos_FWRITE,0x00bfad,69
_uart1_try_get,0x011263,69
_autoPageOutput,0x009d2a,68
_mos_GETERROR,0x00c06f,68
