object,rom,ram,text,rodata,data,bss,vectors
obj/asm/src/rtc.o,9,0,9,0,0,0,0
runtime/build/libmos_runtime.a(bshl.o),9,0,9,0,0,0,0
runtime/build/libmos_runtime.a(ineg_sneg.o),9,0,9,0,0,0,0
runtime/build/libmos_runtime.a(sand.o),9,0,9,0,0,0,0
runtime/build/libmos_runtime.a(sor.o),9,0,9,0,0,0,0
runtime/build/libmos_runtime.a(idivu.o),8,0,8,0,0,0,0
runtime/build/libmos_runtime.a(irems.o),8,0,8,0,0,0,0
runtime/build/libmos_runtime.a(lcmpu.o),8,0,8,0,0,0,0
runtime/build/libmos_runtime.a(idivs.o),7,0,7,0,0,0,0
runtime/build/libmos_runtime.a(sremu.o),7,0,7,0,0,0,0
runtime/build/libmos_runtime.a(ladd.o),6,0,6,0,0,0,0
runtime/build/libmos_runtime.a(indcall.o),2,0,2,0,0,0,0
runtime/build/libmos_runtime.a(indcallhl.o),1,0,1,0,0,0,0
obj/asm/src_startup/globals.o,0,120,0,0,0,120,0
obj/src/emos_telemetry.o,0,0,0,0,0,0,0
obj/src/tests.o,0,0,0,0,0,0,0
obj/src_fatfs/ffsystem.o,0,0,0,0,0,0,0
