AFPROBE-r01,mode136-required,correctness-only
audio,0,8,0,0,0,0,0,1
probe,0,160,12,170,0,0,170,0,0,1
probe,0,160,60,0,0,170,0,0,170,1
probe,0,160,180,0,170,0,0,170,0,1
audio,0,10,0,0,0,0,0,1
probe,0,160,12,170,0,0,170,0,0,1
probe,0,160,60,0,0,170,0,0,170,1
probe,0,160,180,0,170,0,0,170,0,1
audio,0,4,0,0,0,0,0,1
probe,0,160,12,170,0,0,170,0,0,1
probe,0,160,60,0,0,170,0,0,170,1
probe,0,160,180,0,170,0,0,170,0,1
audio,0,2,0,0,255,255,0,1
probe,0,160,12,170,0,0,170,0,0,1
probe,0,160,60,0,0,170,0,0,170,1
probe,0,160,180,0,170,0,0,170,0,1
audio,0,1,0,0,255,255,0,1
probe,0,160,12,170,0,0,170,0,0,1
probe,0,160,60,0,0,170,0,0,170,1
probe,0,160,180,0,170,0,0,170,0,1
audio,0,3,0,0,0,0,0,1
probe,0,160,12,170,0,0,170,0,0,1
probe,0,160,60,0,0,170,0,0,170,1
probe,0,160,180,0,170,0,0,170,0,1
audio,0,3,0,0,0,0,0,1
probe,0,160,12,170,0,0,170,0,0,1
probe,0,160,60,0,0,170,0,0,170,1
probe,0,160,180,0,170,0,0,170,0,1
audio,0,3,0,0,0,0,0,1
probe,0,160,12,170,0,0,170,0,0,1
probe,0,160,60,0,0,170,0,0,170,1
probe,0,160,180,0,170,0,0,170,0,1
audio,0,6,0,0,0,0,0,1
probe,0,160,12,170,0,0,170,0,0,1
probe,0,160,60,0,0,170,0,0,170,1
probe,0,160,180,0,170,0,0,170,0,1
audio,0,6,0,0,0,0,0,1
probe,0,160,12,170,0,0,170,0,0,1
probe,0,160,60,0,0,170,0,0,170,1
probe,0,160,180,0,170,0,0,170,0,1
audio,0,7,0,0,0,0,0,1
probe,0,160,12,170,0,0,170,0,0,1
probe,0,160,60,0,0,170,0,0,170,1
probe,0,160,180,0,170,0,0,170,0,1
audio,0,6,0,0,0,0,0,1
probe,0,160,12,170,0,0,170,0,0,1
probe,0,160,60,0,0,170,0,0,170,1
probe,0,160,180,0,170,0,0,170,0,1
audio,0,7,0,0,0,0,0,1
probe,0,160,12,170,0,0,170,0,0,1
probe,0,160,60,0,0,170,0,0,170,1
probe,0,160,180,0,170,0,0,170,0,1
audio,0,5,255,255,0,0,0,1
probe,0,160,12,170,0,0,170,0,0,1
probe,0,160,60,0,0,170,0,0,170,1
probe,0,160,180,0,170,0,0,170,0,1
audio,0,4,0,0,0,0,0,1
probe,0,160,12,170,0,0,170,0,0,1
probe,0,160,60,0,0,170,0,0,170,1
