RXPROBE-r01,mode136-required,correctness-only
begin,0
probe,0,160,12,170,0,0,170,0,0,1
probe,0,160,48,0,0,170,0,0,170,1
probe,0,0,210,255,255,255,255,255,255,1
probe,0,121,210,0,0,0,0,0,0,1
begin,1
probe,1,160,12,170,0,0,170,0,0,1
probe,1,160,48,0,0,170,0,0,170,1
probe,1,0,210,255,255,255,255,255,255,1
probe,1,121,210,0,0,0,0,0,0,1
begin,2
probe,2,160,12,170,0,0,170,0,0,1
probe,2,160,48,0,0,170,0,0,170,1
probe,2,0,210,255,255,255,255,255,255,1
probe,2,121,210,0,0,0,0,0,0,1
begin,3
probe,3,160,12,170,0,0,170,0,0,1
probe,3,160,48,0,0,170,0,0,170,1
probe,3,0,210,255,255,255,255,255,255,1
probe,3,121,210,0,0,0,0,0,0,1
begin,4
probe,4,160,12,170,0,0,170,0,0,1
probe,4,160,48,0,0,170,0,0,170,1
probe,4,0,210,255,255,255,255,255,255,1
probe,4,121,210,0,0,0,0,0,0,1
begin,5
probe,5,160,12,170,0,0,170,0,0,1
probe,5,160,48,0,0,170,0,0,170,1
probe,5,0,210,255,255,255,255,255,255,1
probe,5,121,210,0,0,0,0,0,0,1
begin,6
probe,6,160,12,170,0,0,170,0,0,1
probe,6,160,48,0,0,170,0,0,170,1
probe,6,0,210,255,255,255,255,255,255,1
probe,6,121,210,0,0,0,0,0,0,1
begin,7
probe,7,160,12,170,0,0,170,0,0,1
probe,7,160,48,0,0,170,0,0,170,1
probe,7,0,210,255,255,255,255,255,255,1
probe,7,121,210,0,0,0,0,0,0,1
begin,8
probe,8,160,12,170,0,0,170,0,0,1
probe,8,160,48,0,0,170,0,0,170,1
probe,8,0,210,255,255,255,255,255,255,1
probe,8,121,210,0,0,0,0,0,0,1
begin,9
probe,9,160,12,170,0,0,170,0,0,1
probe,9,160,48,0,0,170,0,0,170,1
probe,9,0,210,255,255,255,255,255,255,1
probe,9,121,210,0,0,0,0,0,0,1
begin,10
probe,10,160,12,170,0,0,170,0,0,1
probe,10,160,48,0,0,170,0,0,170,1
probe,10,0,210,255,255,255,255,255,255,1
probe,10,121,210,0,0,0,0,0,0,1
begin,11
probe,11,160,12,170,0,0,170,0,0,1
probe,11,160,48,0,0,170,0,0,170,1
probe,11,0,210,255,255,255,255,255,255,1
probe,11,121,210,0,0,0,0,0,0,1
begin,12
probe,12,160,12,170,0,0,170,0,0,1
probe,12,160,48,0,0,170,0,0,170,1
probe,12,0,210,255,255,255,255,255,255,1
probe,12,121,210,0,0,0,0,0,0,1
begin,13
probe,13,160,12,170,0,0,170,0,0,1
probe,13,160,48,0,0,170,0,0,170,1
probe,13,0,210,255,255,255,255,255,255,1
probe,13,121,210,0,0,0,0,0,0,1
begin,14
probe,14,160,12,170,0,0,170,0,0,1
probe,14,160,48,0,0,170,0,0,170,1
probe,14,0,210,255,255,255,255,255,255,1
probe,14,121,210,0,0,0,0,0,0,1
begin,15
probe,15,160,12,170,0,0,170,0,0,1
probe,15,160,48,0,0,170,0,0,170,1
probe,15,0,210,255,255,255,255,255,255,1
probe,15,121,210,0,0,0,0,0,0,1
complete,probes=64,failures=0
